session_id,folder_name,class,primary_action,access_point,intruder_count,motion_style,speech,disturbance,notes
S001,S001_negative_external_alarm,negative,external_alarm,none,0,none,no,siren,
S002,S002_negative_thrown_object,negative,thrown_object,none,0,none,no,object_impact,
S003,S003_negative_thrown_object_2,negative,thrown_object,none,0,none,no,object_impact,
S004,S004_negative_thrown_object_3,negative,thrown_object,none,0,none,no,object_impact,
S005,S005_positive_door_entry_with_falling_object,positive,door_entry,door,1,normal,no,falling_object,
S006,S006_negative_falling_object,negative,falling_object,none,0,none,no,object_fall,
S007,S007_negative_access_attempt_handle,negative,access_attempt,door,0,none,no,none,
S008,S008_positive_door_entry_knock,positive,door_entry,door,1,normal,no,door_knock,
S009,S009_positive_door_entry_impact,positive,door_entry,door,1,normal,no,door_impact,
S010,S010_negative_access_attempt_handle_short_3,negative,access_attempt,door,0,none,no,none,
S011,S011_negative_access_attempt_handle_short_2,negative,access_attempt,door,0,none,no,none,
S012,S012_negative_access_attempt_no_entry,negative,access_attempt,door,0,none,no,none,
S013,S013_positive_door_entry_impact_1,positive,door_entry,door,1,normal,no,door_impact,
S014,S014_positive_window_entry_1,positive,window_entry,window,1,normal,no,none,
S015,S015_positive_window_entry_2,positive,window_entry,window,1,normal,no,none,
S016,S016_positive_window_entry_3,positive,window_entry,window,1,normal,no,none,
S017,S017_positive_window_entry_speech,positive,window_entry,window,1,normal,yes,none,
S018,S018_positive_door_entry_stealth_3,positive,door_entry,door,1,stealth,no,none,
S019,S019_positive_door_entry_stealth_1,positive,door_entry,door,1,stealth,no,none,
S020,S020_positive_door_entry_stealth_2,positive,door_entry,door,1,stealth,no,none,
S021,S021_positive_door_entry_stealth,positive,door_entry,door,1,stealth,no,none,
S022,S022_negative_external_alarm_2,negative,external_alarm,none,0,none,no,siren,
S023,S023_negative_ambient_noise,negative,ambient_noise,none,0,none,no,environmental_noise,
S024,S024_positive_door_entry_2,positive,door_entry,door,1,normal,no,none,
S025,S025_positive_door_entry_stealth_2,positive,door_entry,door,1,stealth,no,none,
S026,S026_positive_window_entry_forced,positive,window_entry,window,1,normal,no,forced_entry,
S027,S027_positive_door_repeated_entry_1,positive,door_entry,door,1,normal,no,repeated_entry,
S028,S028_positive_door_repeated_entry_2,positive,door_entry,door,1,normal,no,repeated_entry,
S029,S029_positive_window_entry_1,positive,window_entry,window,1,normal,no,none,
S030,S030_positive_window_entry_2,positive,window_entry,window,1,normal,no,none,
S031,S031_positive_window_entry_3,positive,window_entry,window,1,normal,no,none,
S032,S032_positive_window_entry_4,positive,window_entry,window,1,normal,no,none,
S033,S033_positive_window_entry_5,positive,window_entry,window,1,normal,no,none,
S034,S034_positive_door_entry_slow_1,positive,door_entry,door,1,slow,no,none,
S035,S035_positive_door_entry_slow_2,positive,door_entry,door,1,slow,no,none,
S036,S036_positive_door_entry_stealth_3,positive,door_entry,door,1,stealth,no,none,
S037,S037_positive_door_entry_speech,positive,door_entry,door,1,normal,yes,none,
S038,S038_positive_door_entry_3,positive,door_entry,door,1,normal,no,none,
S039,S039_positive_door_entry_4,positive,door_entry,door,1,normal,no,none,
S040,S040_positive_door_entry_fast_2,positive,door_entry,door,1,fast,no,none,
S041,S041_positive_door_entry_5,positive,door_entry,door,1,normal,no,none,
S042,S042_positive_door_entry_impact_2,positive,door_entry,door,1,normal,no,door_impact,
S043,S043_positive_door_entry_stealth_4,positive,door_entry,door,1,stealth,no,none,
S044,S044_positive_door_entry_stealth_5,positive,door_entry,door,1,stealth,no,none,
S045,S045_positive_door_entry_6,positive,door_entry,door,1,normal,no,none,
S046,S046_positive_door_entry_impact_3,positive,door_entry,door,1,normal,no,door_impact,
S047,S047_positive_door_entry_impact_4,positive,door_entry,door,1,normal,no,door_impact,
S048,S048_positive_door_entry_impact_fast,positive,door_entry,door,1,fast,no,door_impact,
S049,S049_positive_door_repeated_entry_impact_fast_1,positive,door_entry,door,1,fast,no,"repeated_entry, door_impact",
S050,S050_positive_door_entry_slow_ambient_noise,positive,door_entry,door,1,slow,no,ambient_noise,
S051,S051_positive_door_repeated_entry_slow_impact_ambient_noise,positive,door_entry,door,1,slow,no,"repeated_entry, door_impact, ambient_noise",
S052,S052_positive_rear_side_door_reentry_construction_noise,positive,room_entry,"rear_side, door",1,normal,no,"repeated_entry, construction_noise",
S053,S053_positive_rear_side_door_reentry_slow_fast_construction_noise,positive,room_entry,"rear_side, door",1,slow_fast,no,"repeated_entry, construction_noise",
S054,S054_positive_rear_side_door_reentry_slow_ac_noise,positive,room_entry,"rear_side, door",1,slow,no,"repeated_entry, air_conditioner_noise",
S055,S055_positive_rear_side_door_reentry_impact_ac_noise,positive,room_entry,"rear_side, door",1,normal,no,"repeated_entry, door_impact, air_conditioner_noise",
S056,S056_positive_rear_side_door_reentry_slow_fast_ac_noise,positive,room_entry,"rear_side, door",1,slow_fast,no,"repeated_entry, air_conditioner_noise",
S057,S057_positive_rear_side_door_reentry_slow_rain_noise,positive,room_entry,"rear_side, door",1,slow,no,"repeated_entry, rain_noise",
S058,S058_positive_rear_side_door_entry_slow_siren,positive,room_entry,"rear_side, door",1,slow,no,external_siren,
S059,S059_positive_rear_side_door_entry_slow_rain_noise,positive,room_entry,"rear_side, door",1,slow,no,rain_noise,
S060,S060_positive_rear_side_door_reentry_slow_rain_noise,positive,room_entry,"rear_side, door",1,slow,no,"repeated_entry, rain_noise",
S061,S061_positive_rear_side_door_reentry_slow_rain_noise,positive,room_entry,"rear_side, door",1,slow,no,"repeated_entry, rain_noise",
S062,S062_positive_door_entry_falling_object_ambient_noise,positive,door_entry,door,1,normal,no,"falling_object, ambient_noise",
S063,S063_negative_falling_object_cardboard,negative,falling_object,none,0,none,no,cardboard_object,
S064,S064_negative_falling_object_cardboard_ambient_noise,negative,falling_object,none,0,none,no,"cardboard_object, ambient_noise",
S065,S065_negative_falling_object_metal_small,negative,falling_object,none,0,none,no,metal_object,
S066,S066_positive_room_entry_rear_side_1,positive,room_entry,rear_side,1,normal,no,none,
S067,S067_positive_rear_side_door_reentry_ambient_noise,positive,room_entry,"rear_side, door",1,normal,no,"repeated_entry, ambient_noise",
S068,S068_positive_rear_side_entry_falling_object_ambient_noise,positive,room_entry,rear_side,1,normal,no,"falling_object, ambient_noise",
S069,S069_negative_ambient_noise_rain,negative,ambient_noise,none,0,none,no,rain_noise,
S070,S070_negative_ambient_noise_ac,negative,ambient_noise,none,0,none,no,air_conditioner_noise,
